"categories.href","categories.text","posts.href","posts.text","index","url"
"http://bootcamp.parsons.edu/2015/category/0-news/","News","http://bootcamp.parsons.edu/2015/category/0-news/","3","1","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/0-recommended/","Recommended","http://bootcamp.parsons.edu/2015/category/0-recommended/","12","2","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/track/1-web/","Web","http://bootcamp.parsons.edu/2015/category/track/1-web/","174","3","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/track/2-design/","Design","http://bootcamp.parsons.edu/2015/category/track/2-design/","222","4","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/track/3-code/","Code","http://bootcamp.parsons.edu/2015/category/track/3-code/","89","5","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/clovers/","Clovers","http://bootcamp.parsons.edu/2015/category/section/clovers/","90","6","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/faculty/","Faculty","http://bootcamp.parsons.edu/2015/category/section/faculty/","1","7","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/ghostbusters/","Ghostbusters","http://bootcamp.parsons.edu/2015/category/section/ghostbusters/","49","8","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/godfathers/","Godfathers","http://bootcamp.parsons.edu/2015/category/section/godfathers/","106","9","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/goodfellas/","Goodfellas","http://bootcamp.parsons.edu/2015/category/section/goodfellas/","97","10","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/king-kongs/","King Kongs","http://bootcamp.parsons.edu/2015/category/section/king-kongs/","79","11","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/sharknado-twos/","Sharknado Twos","http://bootcamp.parsons.edu/2015/category/section/sharknado-twos/","32","12","http://bootcamp.parsons.edu/2015/projects/"
"http://bootcamp.parsons.edu/2015/category/section/the-warriors/","The Warriors","http://bootcamp.parsons.edu/2015/category/section/the-warriors/","42","13","http://bootcamp.parsons.edu/2015/projects/"
